sample_id,region,date_start,date_end,flood_label,severity,longitude,latitude,VV_mean,VV_std,VV_min,VV_max,VH_mean,VH_std,VH_min,VH_max,VV_stdDev_mean,VH_stdDev_mean,precipitation_sum,precipitation_mean,precipitation_max,water_occurrence_mean,elevation_mean,slope_mean,region_Jonglei_Flood_Prone,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
52,Upper_Nile,2023-08-01,2023-10-31,1,high,32.67722796095418,9.262558205351075,-5.648721574485145,0.730413877171021,-6.686547127699371,-4.422226011235384,-14.542722921755276,0.8788319440584281,-16.004005191947197,-13.307740559229478,0.730413877171021,0.8788319440584281,406.5060133934021,4.467099189758301,24.39142608642578,2.5945945945945947,397.7189580253549,2.1136755145005157,0,0,1
53,Upper_Nile,2023-08-01,2023-10-31,1,high,32.83181988751637,10.520195625781227,-8.76754654497069,0.7175755349747825,-9.949556678401342,-7.658798934064162,-13.964011410620735,0.8436453485980026,-15.282666273507912,-12.645325649399455,0.7175755349747825,0.8436453485980026,366.56263494491577,4.0281606912612915,21.649258136749268,0.0,392.4159423135273,2.2851293917629585,0,0,1
54,Upper_Nile,2023-08-01,2023-10-31,1,high,31.955544951179508,8.536103007639444,-8.382200680198627,0.873654978834154,-9.598139883838293,-7.043049127152062,-13.920597984563642,0.930666597697667,-15.268122485691597,-12.561074162908913,0.873654978834154,0.930666597697667,388.5657262802124,4.26995325088501,33.33838653564453,0.0,402.38723954358954,2.9588855183818237,0,0,1
55,Upper_Nile,2023-08-01,2023-10-31,1,high,32.44710630120276,8.811029289109962,-8.124873174486956,1.0242410135033646,-9.83213555428949,-6.241044891107861,-13.79389024686442,1.0572646093473685,-15.459346056294336,-11.81502450499198,1.0242410135033646,1.0572646093473685,338.28735542297363,3.7174434661865234,27.769733428955078,0.0,402.5458638860859,1.6268971785599236,0,0,1
56,Upper_Nile,2023-08-01,2023-10-31,1,high,32.88675723462598,9.208318289460086,-11.004054319371386,1.2095258091328438,-12.878943027547017,-9.174279074380438,-16.33750427083016,1.0700373447218872,-17.991787704577455,-14.784069772499775,1.2095258091328438,1.0700373447218872,377.8944753805796,4.152686331007216,24.63024393717448,2.7046476761619176,397.78272790810206,1.3451887360551815,0,0,1
57,Upper_Nile,2023-08-01,2023-10-31,1,high,32.23302403563425,8.89886090864985,-10.511306395091664,1.1804520216877623,-12.383745023236736,-9.00159698094544,-15.39291511636908,1.3528548730438341,-17.67198305253217,-13.78239774872786,1.1804520216877623,1.3528548730438341,380.25918078422546,4.1786723136901855,30.27944564819336,0.0,399.5498814002395,2.128035110255981,0,0,1
58,Upper_Nile,2023-08-01,2023-10-31,1,high,31.62730758629373,8.77617941544369,-8.798212889477774,1.14856727373869,-10.690466971678864,-7.292595112798521,-14.393250896831436,0.6311328600452264,-15.328238574235916,-13.471117195102561,1.14856727373869,0.6311328600452264,422.0611801147461,4.638034820556641,25.428577423095703,0.0,401.2327286917672,2.4073990190849184,0,0,1
59,Jonglei,2023-06-01,2023-08-15,1,moderate,32.492963160102434,6.0897137899395615,-12.662625659078858,0.6866368431446874,-13.674751055939609,-11.677991882806422,-19.774142250063207,0.8892945251820349,-21.16411973612334,-18.582167007455386,0.6866368431446874,0.8892945251820349,202.841459274292,2.7045528888702393,29.923965454101562,0.0,433.96877115393266,2.184052270903441,1,0,0
60,Jonglei,2023-06-01,2023-08-15,1,moderate,32.501483418346716,6.905262531812998,-10.353768877934368,1.452450011311934,-12.081314203869097,-8.05604911608167,-16.073393396296197,1.659751120277206,-18.26873486187457,-13.668187512082675,1.452450011311934,1.659751120277206,302.78073740005493,4.037076473236084,22.969619750976562,0.0,422.12439285939524,1.4786363391863813,1,0,0
61,Jonglei,2023-06-01,2023-08-15,1,moderate,32.22875577908757,8.166677461258427,-10.871970378183496,1.9619504547734512,-13.957781149220429,-7.025706022502832,-17.504867924267682,1.8762448220206076,-21.622165494806904,-14.879047601994396,1.9619504547734512,1.8762448220206076,373.2785668373108,4.977047443389893,30.841299057006836,0.0,407.4208270626023,2.509338705922993,1,0,0
