longitude,latitude,label,sar_vv_mean,sar_vh_mean,sar_vv_std,sar_vh_std,rainfall_total,rainfall_max,elevation_mean,slope_mean,water_occurrence,region_Unity_Flood_Prone,region_Upper_Nile_Flood_Prone
33.13,6.8,0.0,1.0490141473378518,1.6309526740338731,-0.6977646212899002,-0.8785639591914177,-0.14115744607275652,0.2839444534928911,0.9419176661490393,1.5013317365257794,-0.4946123221027904,False,False
33.13,6.8,0.0,0.7088670479405041,1.1532261478208823,-1.8691766911058458,-1.6427490469821466,-0.2592462230741651,0.7813845606182672,0.9419176661490393,1.5013317365257794,-0.4946123221027904,False,False
33.13,6.8,0.0,0.001533977444929971,-0.015381579997823806,-1.3109550553417881,-0.7899709651162543,-1.9670093630775851,-1.8246591164230688,0.9419176661490393,1.5013317365257794,-0.4946123221027904,False,False
33.13,6.8,0.0,0.2570754361653659,0.46609939499676095,-0.6741828313479332,-0.3696018308552186,-1.9670093630775851,-1.8246591164230688,0.9419176661490393,1.5013317365257794,-0.4946123221027904,False,False
31.73,7.28,1.0,-0.5093920038223299,0.17919576029755324,1.335466233260811,-0.558874817925462,-0.12780657804225048,0.343456776444581,0.6301215802596787,-0.6451409595421843,-0.8389765346791941,False,False
31.73,7.28,1.0,0.3861498488579969,0.43084266404466653,0.49057826660320913,0.01243437866665459,0.7427299675664896,0.14783413597623257,0.6301215802596787,-0.6451409595421843,-0.17382078213908117,False,False
31.73,7.28,1.0,-0.039281066226676827,-0.1293066199022761,2.2682929751313687,1.0556329939373161,0.714604432469904,0.623836651131238,0.6301215802596787,-0.6451409595421843,-0.17382078213908117,False,False
31.73,7.28,1.0,0.37274977232575324,0.847865170968769,0.915072813097675,-0.37372299966359296,0.7805926314785833,0.8824335041943845,0.6301215802596787,-0.6451409595421843,0.03419768709080056,False,False
31.73,7.28,1.0,1.7738698241775877,0.8744034557220486,1.108584599421027,-0.4900217830480294,0.4441506415431975,0.41368793781043267,0.6301215802596787,-0.6451409595421843,0.3294814525142605,False,False
31.73,7.28,1.0,2.073851673374896,0.03298528734804728,2.005437611696009,0.6601875382053387,-0.10009682045492883,0.5244751398002706,0.6301215802596787,-0.6451409595421843,-0.9533559282128281,False,False
31.73,7.28,1.0,0.9519633383908968,0.07568470991340721,0.24486688856949504,0.2700070524173379,0.8538136638070759,-0.1955892288676954,0.6301215802596787,-0.6451409595421843,-0.5723629212054282,False,False
31.73,7.28,0.0,-0.2806630074665495,0.5034373233266672,-0.38231593890035165,-0.3188586208738879,-0.28309739684565294,1.1237626642967498,0.6301215802596787,-0.6451409595421843,-0.1460804605637519,False,False
31.73,7.28,0.0,-0.6989578305902925,-0.13790562599947018,1.6989619772248115,1.2716582044184832,-0.1575439506025794,0.319284261164037,0.6301215802596787,-0.6451409595421843,-0.7845660548322156,False,False
31.73,7.28,0.0,-0.9514955613324854,-0.9527398932836645,-2.2390008583180054,-2.089596331202552,-0.16129481858316028,0.2714316462808822,0.6301215802596787,-0.6451409595421843,-0.7845660548322156,False,False
31.73,7.28,0.0,-2.2384903047884555,-2.309548977245643,-1.078891960801134,2.0116711093634203,-1.9670093630775851,-1.8246591164230688,0.6301215802596787,-0.6451409595421843,-0.16647422312763016,False,False
31.73,7.28,0.0,-1.3439136462989902,0.08429421743161061,0.004718433490777149,1.589846993765149,-1.9670093630775851,-1.8246591164230688,0.6301215802596787,-0.6451409595421843,-0.47552013897992285,False,False
33.17,7.68,1.0,-0.3221216626087396,0.7135207143792337,-0.9818037291015855,-0.9576491839224329,0.18717682239122385,1.9848245422070463,0.32655359321687977,-1.184221189686091,0.6457053631407543,False,False
33.17,7.68,1.0,-0.43105083265046223,0.3523523134225352,0.828920960792098,0.1600422706754964,0.9906781605795055,0.7790302567988363,0.32655359321687977,-1.184221189686091,-0.8210494882981314,False,False
33.17,7.68,1.0,0.4043412002612051,1.0707212365881027,-0.7628227262868826,-0.9232152146651841,1.7106168944231845,1.772089443916863,0.32655359321687977,-1.184221189686091,-0.021918242801878762,False,False
33.17,7.68,1.0,-0.3256350851673245,0.5988214448141642,0.10440648850028944,-0.2214254756078879,0.7834820969529263,1.4317048031861033,0.32655359321687977,-1.184221189686091,0.2558050296139493,False,False
33.17,7.68,1.0,1.148814119767563,1.4813384105555627,-0.7373908155910794,-1.0203071259918592,1.1274216259505287,1.7533413230619785,0.32655359321687977,-1.184221189686091,-0.6964675217170015,False,False
33.17,7.68,1.0,0.3603450841852602,0.6460028993459274,-0.08265749666152948,0.030024446224100946,0.8104998647021117,1.1124623857804359,0.32655359321687977,-1.184221189686091,0.2558050296139493,False,False
33.17,7.68,1.0,-0.21932054153949795,-0.0982681176603744,0.5831441697270136,0.24123214976879115,1.3476262623673014,1.0662185874122394,0.32655359321687977,-1.184221189686091,0.08225857768425941,False,False
33.17,7.68,0.0,-0.24872927017438334,0.571833388850307,-0.5801709786797099,-0.7196084450091337,-0.4358126695655294,0.9583718229134893,0.32655359321687977,-1.184221189686091,0.3277646415198748,False,False
33.17,7.68,0.0,-0.9134012634671856,0.6514632114518574,-0.5881724994891617,-0.9470594155013856,0.09395606884968857,0.2590241228338637,0.32655359321687977,-1.184221189686091,0.133098119201216,False,False
33.17,7.68,0.0,1.5066961675856,0.7980879900739116,-2.2390008583180054,-2.089596331202552,0.005420735390286723,1.4838218428769483,0.32655359321687977,-1.184221189686091,-0.2552091802045696,False,False
33.17,7.68,0.0,-1.4682412162766427,-2.309548977245643,1.0765655395005689,2.0116711093634203,-1.9670093630775851,-1.8246591164230688,0.32655359321687977,-1.184221189686091,-0.3065362883516832,False,False
33.17,7.68,0.0,0.03158121499288671,0.5268706021297548,1.7573518683306775,2.0116711093634203,-1.9670093630775851,-1.8246591164230688,0.32655359321687977,-1.184221189686091,-0.7845660548322156,False,False
29.82,9.23,1.0,-2.364151649800938,-2.309548977245643,1.0951666699332094,2.0116711093634203,0.009964610639537231,-0.5858713208397742,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
29.82,9.23,1.0,-2.364151649800938,-2.309548977245643,0.5056295621599486,1.596026367370041,1.2849322168435844,-0.16670275067405957,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
29.82,9.23,1.0,-0.5680309076577151,-0.5984597949392165,0.41659023482762375,0.4736958191511808,0.8368758816374032,0.9361575937386639,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
29.82,9.23,1.0,1.1387910507536443,1.1858123774334277,0.735440088530366,-0.015103483494867965,1.1401000967414445,-0.378681937139413,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
29.82,9.23,1.0,0.8307966240822978,1.5835382598608276,-0.26578833572832705,-0.4830332717233737,0.14312159098838811,6.935244912721095e-05,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
29.82,9.23,1.0,0.49994178877149215,1.139772134897849,-0.5973116863201902,-0.5516210409903122,0.10495642937035944,0.28979040312087345,-0.9452744477313945,2.2262563023532973,-0.5088980783815374,True,False
