sar_before,sar_after,sar_difference,sar_change,elevation,slope,aspect,water_occurrence,river_distance,water_distance,annual_precipitation,flood_season_precipitation,pre_flood_precipitation,upstream_precipitation,flood_month,flood_label,year
-17.32219123840332,-14.167652130126953,0.8178903460502625,3.1545379161834717,413.0,1.0,27.0,6.0,174.0,171.82839965820312,885.3570556640625,719.8163452148438,99.12256622314453,1.5421987771987915,5.0,0.0,2020
-19.810434341430664,-22.703889846801758,1.14605712890625,-2.8934555053710938,404.0,0.0,135.0,3.0,86.33075714111328,29.529645919799805,798.9808349609375,707.79736328125,42.46148681640625,0.9771700501441956,5.0,0.0,2020
-23.505870819091797,-26.71466827392578,1.1365104913711548,-3.2087972164154053,400.0,1.0,207.0,4.0,112.96902465820312,110.0227279663086,811.0493774414062,710.8775024414062,49.90238952636719,1.068259358406067,5.0,0.0,2020
-22.579025268554688,-25.113571166992188,1.1122522354125977,-2.5345458984375,402.0,1.0,116.0,10.0,103.27632904052734,50.990196228027344,813.4992065429688,715.561767578125,46.12765884399414,1.0436314344406128,5.0,0.0,2020
-24.098539352416992,-27.309978485107422,1.1332627534866333,-3.211437940597534,420.0,0.0,0.0,61.0,1.4142135381698608,0.0,860.0473022460938,715.184326171875,78.30602264404297,1.3588101863861084,5.0,0.0,2020
-25.315269470214844,-28.520246505737305,1.1266024112701416,-3.2049753665924072,398.0,0.0,0.0,71.0,1.4142135381698608,0.0,835.2335815429688,761.0704345703125,33.78452682495117,0.7986284494400024,5.0,0.0,2020
-27.72736167907715,-28.575258255004883,1.0305798053741455,-0.8478957414627075,412.0,0.0,0.0,97.0,0.0,0.0,814.5596313476562,672.2175903320312,85.91752624511719,1.3620710372924805,5.0,0.0,2020
-14.522133827209473,-12.876187324523926,0.8866595029830933,1.6459459066390991,399.0,2.0,292.0,11.0,98.50888061523438,33.734256744384766,816.742431640625,724.5723266601562,42.40729904174805,0.9988687634468079,5.0,0.0,2020
-22.6224422454834,-23.611427307128906,1.0437169075012207,-0.9889838099479675,400.0,1.0,252.0,7.0,193.33132934570312,82.134033203125,862.1600952148438,790.267578125,31.63357162475586,0.779560387134552,5.0,0.0,2020
-16.87157440185547,-14.621397972106934,0.8666291832923889,2.250175952911377,411.0,0.0,0.0,54.0,11.180339813232422,0.0,790.3423461914062,659.0359497070312,84.35658264160156,1.282167911529541,5.0,0.0,2020
-16.866317749023438,-14.459993362426758,0.8573296070098877,2.4063243865966797,418.0,1.0,303.0,12.0,33.12099075317383,3.605551242828369,910.046142578125,758.10400390625,87.57766723632812,1.4346911907196045,5.0,0.0,2020
-24.840255737304688,-26.284496307373047,1.0581411123275757,-1.4442408084869385,418.0,3.0,90.0,78.0,1.0,0.0,778.1578979492188,622.712890625,77.93862915039062,1.3981858491897583,5.0,0.0,2021
-14.398727416992188,-15.992605209350586,1.110695719718933,-1.5938782691955566,422.0,1.0,108.0,4.0,44.0113639831543,24.75883674621582,784.8600463867188,631.7069702148438,81.92430877685547,1.3808751106262207,5.0,0.0,2021
-27.89060401916504,-26.55397605895996,0.9520760178565979,1.3366283178329468,398.0,2.0,270.0,53.0,18.439088821411133,0.0,792.3057861328125,673.7130737304688,29.636842727661133,1.0892852544784546,5.0,0.0,2021
-30.30548858642578,-28.805706024169922,0.9505111575126648,1.499782681465149,402.0,2.0,0.0,49.0,5.099019527435303,1.0,765.1414794921875,652.6724853515625,41.63174057006836,1.018081545829773,5.0,0.0,2021
